f,signal,A,B,gamma,gammadot,K,lnBFmax,Popt,ID,angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B.1,V,R,J,H,K.1,u,g,r,i,z,RA,DEC
S9/tess2019058134432-s0009-0000000001006575-0139-s_lc_GLST.Robj,sig1,-4.99228820113002,8.16752253258378,-4.25347572151204,0.278274367367442,9.57242737258454,217.275359741866,4.19051620966706,TIC1006575,0.119568,HD  95741,165.7428413242,-3.3813862778,0,0,90,12,11 02 58.28192,-03 22 52.9906,PM*,PM*|** |*  |IR,17.76,NA,K1III/IV+A/F,NA,21.8457,133.83,-164.81,NA,NA,NA,9.76,8.89,NA,7.422,7.06,6.929,NA,NA,NA,NA,NA,165.742823,-3.381414
S9/tess2019058134432-s0009-0000000001006575-0139-s_lc_GLST.Robj,sig2,0.128463515340154,7.2926630107673,-0.855972648679198,0.0806890314650517,7.2937943940988,123.329210169275,3.00947262602996,TIC1006575,0.119568,HD  95741,165.7428413242,-3.3813862778,0,0,90,12,11 02 58.28192,-03 22 52.9906,PM*,PM*|** |*  |IR,17.76,NA,K1III/IV+A/F,NA,21.8457,133.83,-164.81,NA,NA,NA,9.76,8.89,NA,7.422,7.06,6.929,NA,NA,NA,NA,NA,165.742823,-3.381414
S9/tess2019058134432-s0009-0000000001006575-0139-s_lc_GLST.Robj,sig3,-8.22807341145343,0.0227890714399298,0.162277199133461,7.77423472504485e-05,8.228104970529,167.480110046271,5.36667602321078,TIC1006575,0.119568,HD  95741,165.7428413242,-3.3813862778,0,0,90,12,11 02 58.28192,-03 22 52.9906,PM*,PM*|** |*  |IR,17.76,NA,K1III/IV+A/F,NA,21.8457,133.83,-164.81,NA,NA,NA,9.76,8.89,NA,7.422,7.06,6.929,NA,NA,NA,NA,NA,165.742823,-3.381414
S9/tess2019058134432-s0009-0000000001007012-0139-s_lc_GLST.Robj,sig1,7.94897683087724,1.12711000105283,-0.361358637054178,0.12735688870911,8.028487380092,636.751107215099,12.8031842932445,TIC1007012,0.184866,BD-04  3000,165.7344347493,-5.4565066554,0,0,90,2,11 02 56.26434,-05 27 23.4240,Star,*  |IR,-1.425,NA,,NA,11.071,10.03,9.38,NA,NA,NA,11.45,10.8,NA,9.307,8.884,8.778,NA,NA,NA,NA,NA,165.73448,-5.456482
S9/tess2019058134432-s0009-0000000001007012-0139-s_lc_GLST.Robj,sig2,2.70892431258467,-5.86719289582454,0.922221840334817,-0.0900893301747996,6.46236979815657,481.39157373132,5.70906605972894,TIC1007012,0.184866,BD-04  3000,165.7344347493,-5.4565066554,0,0,90,2,11 02 56.26434,-05 27 23.4240,Star,*  |IR,-1.425,NA,,NA,11.071,10.03,9.38,NA,NA,NA,11.45,10.8,NA,9.307,8.884,8.778,NA,NA,NA,NA,NA,165.73448,-5.456482
S9/tess2019058134432-s0009-0000000001007012-0139-s_lc_GLST.Robj,sig3,-2.79285607963706,-3.47444110094265,0.021406308898109,-0.00964805535797224,4.45777815121898,241.993466052331,3.88229421405288,TIC1007012,0.184866,BD-04  3000,165.7344347493,-5.4565066554,0,0,90,2,11 02 56.26434,-05 27 23.4240,Star,*  |IR,-1.425,NA,,NA,11.071,10.03,9.38,NA,NA,NA,11.45,10.8,NA,9.307,8.884,8.778,NA,NA,NA,NA,NA,165.73448,-5.456482
S9/tess2019058134432-s0009-0000000001008153-0139-s_lc_GLST.Robj,sig1,5.17965400413014,124.61583286858,-6.80945652911409,0.5045050680243,124.723432510224,6832.17249540791,0.51376861000906,TIC1008153,0.413727,HD  95771,165.8105839583,-0.7523408816,0,0,90,26,11 03 14.54015,-00 45 08.4272,PM*,UV |*  |IR |PM*,4.5,NA,A8/9IV,NA,18.8062,-20.1,-111.98,NA,NA,NA,6.371,6.117,11.4,5.632,5.485,5.445,NA,NA,NA,NA,NA,165.810654,-0.752432
S9/tess2019058134432-s0009-0000000001008153-0139-s_lc_GLST.Robj,sig2,52.7097921179185,7.37262865871543,-0.201603176837055,0.0172280726423413,53.2229070838253,1231.99672385056,0.257069306625897,TIC1008153,0.413727,HD  95771,165.8105839583,-0.7523408816,0,0,90,26,11 03 14.54015,-00 45 08.4272,PM*,UV |*  |IR |PM*,4.5,NA,A8/9IV,NA,18.8062,-20.1,-111.98,NA,NA,NA,6.371,6.117,11.4,5.632,5.485,5.445,NA,NA,NA,NA,NA,165.810654,-0.752432
S9/tess2019058134432-s0009-0000000001008153-0139-s_lc_GLST.Robj,sig3,-34.2652823185938,28.7970996762608,-0.0336098293618787,-0.0068582934195077,44.7591613207557,867.346638677855,0.171209420559522,TIC1008153,0.413727,HD  95771,165.8105839583,-0.7523408816,0,0,90,26,11 03 14.54015,-00 45 08.4272,PM*,UV |*  |IR |PM*,4.5,NA,A8/9IV,NA,18.8062,-20.1,-111.98,NA,NA,NA,6.371,6.117,11.4,5.632,5.485,5.445,NA,NA,NA,NA,NA,165.810654,-0.752432
S9/tess2019058134432-s0009-0000000001009235-0139-s_lc_GLST.Robj,sig1,-4.57495009319543,-3.60735433495235,1.32335779859091,-0.148110571280871,5.82607703803584,1338.29125858196,6.00737288588299,TIC1009235,0.173761,G 163-43,165.913966375,-4.7091652626,0,0,90,5,11 03 39.35193,-04 42 32.9949,PM*,PM*|X  |*  |IR |PM*|PM*,NA,NA,,NA,15.4365,-299.96,34.04,NA,NA,NA,16.3,15.69,NA,11.249,10.687,10.438,NA,NA,NA,NA,NA,165.914,-4.7092
S9/tess2019058134432-s0009-0000000001009235-0139-s_lc_GLST.Robj,sig2,-0.436698926080153,-3.48745538351023,4.09163810312746,-0.329380155295379,3.51469074087807,133.111895026868,28.4008283256218,TIC1009235,0.173761,G 163-43,165.913966375,-4.7091652626,0,0,90,5,11 03 39.35193,-04 42 32.9949,PM*,PM*|X  |*  |IR |PM*|PM*,NA,NA,,NA,15.4365,-299.96,34.04,NA,NA,NA,16.3,15.69,NA,11.249,10.687,10.438,NA,NA,NA,NA,NA,165.914,-4.7092
S9/tess2019058134432-s0009-0000000001009235-0139-s_lc_GLST.Robj,sig3,1.22008467035996,-0.797600613535989,-0.0534241467932721,0.00391274890831806,1.45766022843472,78.1421553505099,3.63621019375051,TIC1009235,0.173761,G 163-43,165.913966375,-4.7091652626,0,0,90,5,11 03 39.35193,-04 42 32.9949,PM*,PM*|X  |*  |IR |PM*|PM*,NA,NA,,NA,15.4365,-299.96,34.04,NA,NA,NA,16.3,15.69,NA,11.249,10.687,10.438,NA,NA,NA,NA,NA,165.914,-4.7092
S9/tess2019058134432-s0009-0000000001009300-0139-s_lc_GLST.Robj,sig1,-1.19990234834209,-0.585665219067149,0.185231732678214,-0.0180481483918839,1.33520387745911,10.3480002914829,3.14376678923913,TIC1009300,0.130607,G 163-44,165.9650617911,-5.0986710489,0,0,90,7,11 03 51.61483,-05 05 55.2158,PM*,PM*|PM*|*  |PM*|IR,33.73,NA,,NA,23.2758,-300.23,-90.99,NA,NA,NA,12.825,11.533,NA,8.903,8.309,8.083,NA,12.192,10.976,10.381,NA,165.96509,-5.098694
S9/tess2019058134432-s0009-0000000001009300-0139-s_lc_GLST.Robj,sig2,0.492354110730203,-1.22054995949594,0.0395789721623856,0.000193713125124653,1.31611351105384,9.49471068220089,1.64615782480975,TIC1009300,0.130607,G 163-44,165.9650617911,-5.0986710489,0,0,90,7,11 03 51.61483,-05 05 55.2158,PM*,PM*|PM*|*  |PM*|IR,33.73,NA,,NA,23.2758,-300.23,-90.99,NA,NA,NA,12.825,11.533,NA,8.903,8.309,8.083,NA,12.192,10.976,10.381,NA,165.96509,-5.098694
S9/tess2019058134432-s0009-0000000001009300-0139-s_lc_GLST.Robj,sig3,-0.960689775190327,-0.641889949922709,0.034386271521491,-0.00310993013042607,1.15539930412261,4.95104600534296,1.10662243979965,TIC1009300,0.130607,G 163-44,165.9650617911,-5.0986710489,0,0,90,7,11 03 51.61483,-05 05 55.2158,PM*,PM*|PM*|*  |PM*|IR,33.73,NA,,NA,23.2758,-300.23,-90.99,NA,NA,NA,12.825,11.533,NA,8.903,8.309,8.083,NA,12.192,10.976,10.381,NA,165.96509,-5.098694
S9/tess2019058134432-s0009-0000000001530056-0139-s_lc_GLST.Robj,sig1,-20719.5610951046,12197.5897385472,-214.509593535983,-97.5108358802858,24043.3235515326,11191845.3221752,4.05108668564357,TIC1530056,0.10227,* mu. Hya,156.5226095752,-16.8362896809,0.001,0.001,90,113,10 26 05.42630,-16 50 10.6429,PM*,V* |UV |IR |*  |PM*,40.81,NA,K4III,NA,13.93,-129.17,-79.76,NA,NA,NA,5.29,3.81,2.7,1.3,0.53,0.37,NA,NA,NA,NA,NA,156.522581,-16.836282
S9/tess2019058134432-s0009-0000000001530056-0139-s_lc_GLST.Robj,sig2,-13744.4717617129,-4477.41865160395,269.045203354332,36.1018190723205,14455.3720737397,4028080.14285738,3.27774061829303,TIC1530056,0.10227,* mu. Hya,156.5226095752,-16.8362896809,0.001,0.001,90,113,10 26 05.42630,-16 50 10.6429,PM*,V* |UV |IR |*  |PM*,40.81,NA,K4III,NA,13.93,-129.17,-79.76,NA,NA,NA,5.29,3.81,2.7,1.3,0.53,0.37,NA,NA,NA,NA,NA,156.522581,-16.836282
